User ID,Join Date,Last Payment Date,SubscriptionID,Monthly Revenue,Monthly_Revenue,Gender,Device,Country,FamilyMember,Age,TimeConsumingPerWeek,Genre,Satisfaction,MontlyIncomeUSD,Monthly Income,SubscriptionMethod,MonthlyFeeUSD,NoDevice,PlanDurationMonth,Monthly Fee 
1,15-01-2022,10-06-2023,1,10,876.3,Male,Smartphone,United States,5,21,9,Horror,Satisfied,900,78867,Basic,10,1,1,876.3
2,05-09-2021,22-06-2023,3,15,1314.45,Female,Tablet,Canada,5,17,7,Comedy,Extremely satisfied,700,61341,Premium,15,4,1,1314.45
3,28-02-2023,27-06-2023,2,12,1051.56,Male,Smart TV,United Kingdom,3,22,8,Action & Adventure,Neutral,800,70104,Standard,12,2,1,1051.56
4,10-07-2022,26-06-2023,2,12,1051.56,Female,Laptop,Australia,4,24,8,Horror,Extremely satisfied,600,52578,Standard,12,2,1,1051.56
5,01-05-2023,28-06-2023,1,10,876.3,Male,Smartphone,Germany,2,23,9,Action & Adventure,Extremely satisfied,1000,87630,Basic,10,1,1,876.3
6,18-03-2022,27-06-2023,3,15,1314.45,Female,Smart TV,France,4,19,7,Comedy,Satisfied,900,78867,Premium,15,4,1,1314.45
7,09-12-2021,25-06-2023,2,12,1051.56,Male,Tablet,Brazil,3,19,9,Horror,Satisfied,700,61341,Standard,12,2,1,1051.56
8,02-04-2023,24-06-2023,1,10,876.3,Female,Laptop,Mexico,1,21,9,Horror,Satisfied,700,61341,Basic,10,1,1,876.3
9,20-10-2022,23-06-2023,2,12,1051.56,Male,Smartphone,Spain,4,22,8,Horror,Satisfied,900,78867,Standard,12,2,1,1051.56
10,07-01-2023,22-06-2023,3,15,1314.45,Female,Smart TV,Italy,6,19,9,Dramma,Satisfied,1000,87630,Premium,15,4,1,1314.45
11,16-05-2022,22-06-2023,1,10,876.3,Female,Smartphone,United States,3,19,10,Comedy,Satisfied,1000,87630,Basic,10,1,1,876.3
12,23-03-2023,28-06-2023,3,15,1314.45,Male,Tablet,Canada,6,23,10,Horror,Satisfied,600,52578,Premium,15,4,1,1314.45
13,30-11-2021,27-06-2023,2,12,1051.56,Female,Laptop,United Kingdom,4,20,6,Horror,Neutral,1000,87630,Standard,12,2,1,1051.56
14,01-08-2022,26-06-2023,1,10,876.3,Male,Smartphone,Australia,1,20,10,Horror,Extremely satisfied,1000,87630,Basic,10,1,1,876.3
15,09-05-2023,28-06-2023,2,12,1051.56,Female,Smart TV,Germany,3,25,8,Dramma,Satisfied,800,70104,Standard,12,2,1,1051.56
16,07-04-2022,27-06-2023,3,15,1314.45,Male,Tablet,France,4,25,6,Horror,Extremely satisfied,600,52578,Premium,15,4,1,1314.45
17,24-01-2022,25-06-2023,1,10,876.3,Female,Laptop,Brazil,5,25,8,Horror,Extremely satisfied,500,43815,Basic,10,1,1,876.3
18,18-10-2021,24-06-2023,2,12,1051.56,Male,Smartphone,Mexico,4,21,7,Horror,Satisfied,600,52578,Standard,12,2,1,1051.56
19,15-02-2023,23-06-2023,3,15,1314.45,Female,Smart TV,Spain,6,19,7,Comedy,Satisfied,800,70104,Premium,15,4,1,1314.45
20,27-05-2023,22-06-2023,1,10,876.3,Male,Tablet,Italy,3,17,6,Action & Adventure,Neutral,900,78867,Basic,10,1,1,876.3
21,10-06-2023,22-06-2023,3,15,1314.45,Female,Laptop,United States,5,18,7,Comedy,Neutral,1000,87630,Premium,15,4,1,1314.45
22,22-07-2022,28-06-2023,1,10,876.3,Male,Smartphone,Canada,3,23,8,Action & Adventure,Extremely satisfied,1000,87630,Basic,10,1,1,876.3
23,05-12-2021,27-06-2023,2,12,1051.56,Female,Smart TV,United Kingdom,2,18,10,Dramma,Extremely satisfied,700,61341,Standard,12,2,1,1051.56
24,03-04-2022,26-06-2023,2,12,1051.56,Male,Tablet,Australia,3,19,7,Horror,Extremely satisfied,900,78867,Standard,12,2,1,1051.56
25,14-03-2023,28-06-2023,1,10,876.3,Female,Laptop,Germany,5,18,9,Dramma,Extremely satisfied,600,52578,Basic,10,1,1,876.3
26,12-01-2022,27-06-2023,3,15,1314.45,Male,Smartphone,France,6,25,8,Horror,Extremely satisfied,900,78867,Premium,15,4,1,1314.45
27,29-08-2022,25-06-2023,1,10,876.3,Female,Smart TV,Brazil,1,18,8,Comedy,Extremely satisfied,600,52578,Basic,10,1,1,876.3
28,27-09-2021,24-06-2023,2,12,1051.56,Male,Tablet,Mexico,3,17,6,Horror,Extremely satisfied,600,52578,Standard,12,2,1,1051.56
29,19-12-2022,23-06-2023,3,15,1314.45,Female,Laptop,Spain,6,24,8,Horror,Neutral,800,70104,Premium,15,4,1,1314.45
30,17-05-2023,22-06-2023,1,10,876.3,Male,Smartphone,Italy,2,17,10,Action & Adventure,Satisfied,1000,87630,Basic,10,1,1,876.3
31,03-02-2023,22-06-2023,3,15,1314.45,Female,Smart TV,United States,4,20,7,Dramma,Satisfied,1000,87630,Premium,15,4,1,1314.45
32,07-07-2022,28-06-2023,1,10,876.3,Male,Tablet,Canada,5,25,10,Horror,Extremely satisfied,1000,87630,Basic,10,1,1,876.3
33,21-01-2022,27-06-2023,2,12,1051.56,Female,Laptop,United Kingdom,2,19,10,Comedy,Neutral,600,52578,Standard,12,2,1,1051.56
34,25-05-2022,26-06-2023,2,12,1051.56,Male,Smartphone,Australia,4,18,7,Action & Adventure,Neutral,700,61341,Standard,12,2,1,1051.56
35,11-04-2023,28-06-2023,1,10,876.3,Female,Smart TV,Germany,5,20,8,Horror,Extremely satisfied,700,61341,Basic,10,1,1,876.3
36,01-03-2022,27-06-2023,3,15,1314.45,Male,Tablet,France,6,17,9,Action & Adventure,Satisfied,800,70104,Premium,15,4,1,1314.45
37,14-09-2022,25-06-2023,1,10,876.3,Female,Laptop,Brazil,1,21,9,Comedy,Extremely satisfied,600,52578,Basic,10,1,1,876.3
38,05-11-2021,24-06-2023,2,12,1051.56,Male,Smartphone,Mexico,4,21,7,Action & Adventure,Neutral,500,43815,Standard,12,2,1,1051.56
39,28-12-2022,23-06-2023,3,15,1314.45,Female,Smart TV,Spain,6,24,6,Horror,Neutral,700,61341,Premium,15,4,1,1314.45
40,07-03-2023,22-06-2023,1,10,876.3,Male,Tablet,Italy,5,22,6,Horror,Extremely satisfied,800,70104,Basic,10,1,1,876.3
41,20-01-2023,22-06-2023,3,15,1314.45,Female,Laptop,United States,5,19,9,Dramma,Satisfied,800,70104,Premium,15,4,1,1314.45
42,15-06-2022,28-06-2023,1,10,876.3,Male,Smartphone,Canada,5,18,8,Horror,Satisfied,600,52578,Basic,10,1,1,876.3
43,07-02-2022,27-06-2023,2,12,1051.56,Female,Smart TV,United Kingdom,4,22,6,Dramma,Extremely satisfied,800,70104,Standard,12,2,1,1051.56
44,26-04-2022,26-06-2023,2,12,1051.56,Male,Tablet,Australia,4,17,9,Horror,Satisfied,900,78867,Standard,12,2,1,1051.56
45,28-01-2023,28-06-2023,1,10,876.3,Female,Laptop,Germany,4,21,9,Comedy,Neutral,600,52578,Basic,10,1,1,876.3
46,23-02-2022,27-06-2023,3,15,1314.45,Male,Smartphone,France,5,23,6,Action & Adventure,Extremely satisfied,600,52578,Premium,15,4,1,1314.45
47,05-10-2022,25-06-2023,1,10,876.3,Female,Smart TV,Brazil,2,17,6,Comedy,Satisfied,700,61341,Basic,10,1,1,876.3
48,15-09-2021,24-06-2023,2,12,1051.56,Male,Tablet,Mexico,3,25,8,Horror,Extremely satisfied,700,61341,Standard,12,2,1,1051.56
49,10-11-2022,23-06-2023,3,15,1314.45,Female,Laptop,Spain,6,18,7,Comedy,Neutral,700,61341,Premium,15,4,1,1314.45
50,02-06-2023,22-06-2023,1,10,876.3,Male,Smartphone,Italy,4,25,8,Horror,Neutral,700,61341,Basic,10,1,1,876.3
51,27-02-2023,22-06-2023,3,15,1314.45,Female,Smart TV,United States,5,17,8,Comedy,Extremely satisfied,900,78867,Premium,15,4,1,1314.45
52,29-08-2022,28-06-2023,1,10,876.3,Male,Tablet,Canada,3,21,6,Horror,Neutral,900,78867,Basic,10,1,1,876.3
53,13-01-2022,27-06-2023,2,12,1051.56,Female,Laptop,United Kingdom,4,18,8,Dramma,Extremely satisfied,1000,87630,Standard,12,2,1,1051.56
54,30-06-2022,26-06-2023,2,12,1051.56,Male,Smartphone,Australia,2,17,6,Horror,Extremely satisfied,800,70104,Standard,12,2,1,1051.56
55,20-04-2023,28-06-2023,1,10,876.3,Female,Smart TV,Germany,1,23,6,Horror,Extremely satisfied,600,52578,Basic,10,1,1,876.3
56,15-03-2022,27-06-2023,3,15,1314.45,Male,Tablet,France,6,25,8,Action & Adventure,Neutral,1000,87630,Premium,15,4,1,1314.45
57,01-10-2022,25-06-2023,1,10,876.3,Female,Laptop,Brazil,1,23,7,Dramma,Satisfied,500,43815,Basic,10,1,1,876.3
58,08-10-2021,24-06-2023,2,12,1051.56,Male,Smartphone,Mexico,4,21,9,Horror,Satisfied,800,70104,Standard,12,2,1,1051.56
59,03-12-2022,23-06-2023,3,15,1314.45,Female,Smart TV,Spain,4,20,8,Dramma,Extremely satisfied,700,61341,Premium,15,4,1,1314.45
60,14-06-2023,22-06-2023,1,10,876.3,Male,Tablet,Italy,2,19,6,Action & Adventure,Satisfied,900,78867,Basic,10,1,1,876.3
61,08-02-2023,22-06-2023,3,15,1314.45,Female,Laptop,United States,4,23,6,Dramma,Satisfied,700,61341,Premium,15,4,1,1314.45
62,03-08-2022,28-06-2023,1,10,876.3,Male,Smartphone,Canada,4,17,6,Horror,Extremely satisfied,600,52578,Basic,10,1,1,876.3
63,23-02-2022,27-06-2023,2,12,1051.56,Female,Smart TV,United Kingdom,4,25,10,Horror,Neutral,800,70104,Standard,12,2,1,1051.56
64,20-06-2022,26-06-2023,2,12,1051.56,Male,Tablet,Australia,2,19,9,Horror,Extremely satisfied,900,78867,Standard,12,2,1,1051.56
65,29-03-2023,28-06-2023,1,10,876.3,Female,Laptop,Germany,3,19,8,Comedy,Neutral,900,78867,Basic,10,1,1,876.3
66,30-01-2022,27-06-2023,3,15,1314.45,Male,Smartphone,France,4,22,6,Horror,Neutral,800,70104,Premium,15,4,1,1314.45
67,18-09-2022,25-06-2023,1,10,876.3,Female,Smart TV,Brazil,3,20,10,Horror,Neutral,700,61341,Basic,10,1,1,876.3
68,09-11-2021,24-06-2023,2,12,1051.56,Male,Tablet,Mexico,4,22,9,Action & Adventure,Neutral,600,52578,Standard,12,2,1,1051.56
69,23-12-2022,23-06-2023,3,15,1314.45,Female,Laptop,Spain,4,21,7,Dramma,Satisfied,700,61341,Premium,15,4,1,1314.45
70,08-05-2023,22-06-2023,1,10,876.3,Male,Smartphone,Italy,1,24,6,Action & Adventure,Extremely satisfied,600,52578,Basic,10,1,1,876.3
